category,CodedMonth,Month,Year,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,latitude,longitude,id
3,2017-03,3,2017,3/1/17 20:20,43014,4,"ASSLT-AGGRAV-OTH-WPN-1ST-ADULT-DOMESTIC",1411,LOCUST ST,36, ,@NEW LIFE EVNGLSTC CNTR,1212,13TH,38.63170776,-90.20053765,49
7,2017-03,3,2017,3/1/17 20:56,151110,2,"WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION",4606,WHERRY AVE,7, , ,4606,WHERRY,38.58767693,-90.28565487,50
3,2017-03,3,2017,3/1/17 21:20,91113,4,"SIMPLE ASSAULT-ADULT/NO INJURY",0,N 14TH ST / BIDDLE ST,61, , , , ,38.6379358,-90.1974557,51
2,2017-03,3,2017,3/1/17 22:00,69702,1,"LARCENY-ALL OTHER UNDER $500",3904,LOUGHBOROUGH AVE,4, , ,3904,LOUGHBOROUGH,38.56190153,-90.26974481,52
2,2017-03,3,2017,3/1/17 22:00,64711,4,"LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT",511,N 9TH ST,35, ,METERED PARKING, , ,38.63055653,-90.1928578,53
7,2017-03,3,2017,3/1/17 22:02,151110,4,"WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION",1100,SPRUCE ST,35, , , , ,38.62399293,-90.19780062,54
7,2017-03,3,2017,3/1/17 22:05,151110,5,"WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION",5572,NATURAL BRIDGE AVE,50, , ,5572,NATURAL BRIDGE,38.68242612,-90.26623812,55
5,2017-03,3,2017,3/2/17 0:01,115400,5,"STLG BY DECEIT/IDENTITY THEFT REPORT",4510,LINDELL BLVD,38, , ,4510,LINDELL,38.64208942,-90.2584526,56
2,2017-03,3,2017,3/2/17 0:45,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",619,N 6TH ST,35, , ,600,6TH,38.63031643,-90.18927836,57
3,2017-03,3,2017,3/2/17 1:05,41016,3,"ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC",2855,UTAH ST,30, , ,2853,UTAH,38.59611337,-90.23152109,58
